location_id;Year;Number_yaws;polio_cases;cases_guinea_worm;Number_rabies;Number_malaria;Number_hiv;Number_tuberculosis;Number_smallpox;Number_cholera_cases
1;1980;;6160;0;;;;;;
1;1981;;5859;0;;;;;;
1;1982;;9730;0;;;;;;
1;1983;;13937;0;;;;;;
1;1984;;3864;0;;;;;;
1;1985;;13867;0;;;;;;
1;1986;;12901;0;;;;;;
1;1987;;4396;0;;;;;;
1;1988;;2149;0;;;;;;
1;1989;;385;0;;;;;;
1;1990;;336;0;2.145.772;1219845.8;87.665.596;16.303.112;;
1;1991;;14;0;23.209.748;1132781.5;10.377.359;17.582.254;;
1;1995;;0;0;3.126.361;725758.3;14.354.527;22.163.428;;19903
1;1997;;21;0;3.446.122;605853.06;16.059.525;23.140.863;;4170
1;1998;;65;0;35.570.247;547045.4;16.460.725;23.179.447;;10000
1;1999;;167;0;3.607.037;502898.88;16.899.359;22.944.182;;24639
1;2000;;133;0;36.362.348;491614.72;17.766.675;22.879.678;;4330
1;2001;;22;0;37.118.323;511626.2;19.251.457;23330.46;;4499
1;2002;;11;0;3.841.707;546030.6;20.817.296;24148.05;;3
1;2003;;9;0;3.914.814;574740.3;22.020.476;24519.38;;41
1;2004;;4;0;39.608.393;601074;23.317.265;24.681.549;;
1;2005;;10;0;39.896.567;625202.75;24.433.427;24.736.137;;33
1;2006;;34;0;3.929.627;605759;25.245.116;24.318.215;;
1;2007;;19;0;3.826.987;540832.3;26.899.326;23.911.043;;
1;2008;;34;0;37.016.175;453018.84;28.207.034;23.510.375;;4384
1;2009;;42;0;3.568.791;368269;29.023.172;23.083.846;;662
1;2010;;33;0;34.966.226;324376.8;3.013.223;22.966.498;;2369
1;2011;;90;0;34.693.305;313173.53;33.021.848;23.015.777;;3733
1;2012;;51;0;34.304.512;303789.6;45.922.284;23.064.814;;12
1;2013;;19;0;33.869.221;297651.5;5.256.841;23.117.854;;3957
1;2014;;31;0;33.300.812;294260.03;5.927.875;23.040.713;;45481
1;2015;;22;0;33.108.234;298038.5;6.696.386;23.044.637;;58064
1;2016;;14;0;33.374.228;345016.8;7.180.141;23.112.873;;677
1;2017;;16;0;3.379.239;427513.62;76.524.567;23.483.064;;33
1;2018;;23;0;33.948.505;629438.06;8.109.223;23.930.367;;
1;2019;;32;0;3.387.213;998712.1;84.966.254;23.717.326;;2
1;2020;;404;0;;;;;;
1;1992;;;0;26.180.408;1081609.6;1.199.334;19.786.672;;
1;1993;;;0;28.531.172;963817.1;1.272.633;21.195.934;;37046
1;1994;;;0;29.899.871;818779.5;13.306.308;21.658.172;;38735
1;1996;;;0;3.281.437;665807.44;15.226.442;22701.54;;
1;2021;;;0;;;;;;4755
1;2022;;;0;;;;;;
1;1960;;;;;;;;;887
1;1965;;;;;;;;;218
2;1980;;35882;;;;;;;18742
2;1981;;29337;;;;;;;19415
2;1982;;27279;;;;;;;46924
2;1983;;21462;;;;;;;37383
2;1984;;20776;;;;;;;17504
2;1985;;27545;;;;;;;31884
2;1986;;23975;;;;;;;35585
